CoffeeID,ID,Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
35,35,Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,0.0,85.25,9.4,0,1,greenish,1
36,36,Taiwan,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,0.0,85.25,9.5,0,0,bluish-green,0
37,37,Taiwan,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,85.25,11.3,0,0,green,0
38,38,Kenya,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,0.0,85.25,9.2,0,0,greenish,1
39,39,Taiwan,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.17,10.3,0,0,bluish-green,0
40,40,Taiwan,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,0.0,85.08,10.0,0,0,brownish,0
41,41,Taiwan,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.08,10.5,0,0,greenish,0
42,42,Taiwan,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.08,10.0,0,0,pale yellow,5
43,43,Uganda,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.0,11.0,0,0,green,1
44,44,Taiwan,Typica,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.9,0,0,green,0
45,45,Taiwan,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.1,0,0,yellow green,0
46,46,Guatemala,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.0,9.9,0,1,green,1
47,47,Guatemala,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11.3,0,0,green,4
48,48,Guatemala,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.92,11.7,0,3,green,1
49,49,Taiwan,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.92,9.5,0,0,green,2
50,50,Taiwan,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.83,9.7,0,0,brownish,0
51,51,Indonesia,Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.9,0,3,bluish-green,2
52,52,Peru,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.83,10.7,0,0,greenish,0
53,53,"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.2,0,0,greenish,0
54,54,Taiwan,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,0.0,84.83,9.5,0,0,greenish,0
55,55,Taiwan,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.75,10.4,0,0,green,0
56,56,Brazil,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2,0,1,green,5
57,57,Panama,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.75,10.3,0,1,bluish-green,5
58,58,Taiwan,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.75,10.0,0,0,blue-green,0
59,59,Guatemala,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.92,0.0,84.67,10.6,0,0,green,1
60,60,Guatemala,Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.67,10.9,0,3,yellow-green,2
61,61,Costa Rica,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,8.58,0.0,84.67,10.0,0,1,green,2
62,62,Taiwan,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.58,9.6,0,0,greenish,0
63,63,Taiwan,Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.58,11.5,0,0,green,0
64,64,Nicaragua,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,8.0,0.0,84.58,9.9,1,0,green,2
65,65,Taiwan,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,11.2,0,0,green,2
66,66,Taiwan,SL34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,10.3,0,0,green,0
67,67,Vietnam,Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.92,0.0,84.58,11.6,0,0,brownish,0
68,68,Costa Rica,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.5,11.7,0,1,green,0
69,69,Taiwan,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,11.3,0,0,bluish-green,0
70,70,Honduras,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,9.8,0,0,green,3
71,71,Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.5,10.9,0,0,green,9
72,72,Taiwan,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,7.83,0.0,84.5,10.2,0,0,green,0
73,73,Taiwan,Gesha,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.42,10.1,0,0,bluish-green,1
74,74,Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.33,9.2,0,1,green,5
75,75,United States (Hawaii),Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,84.33,10.1,3,0,yellow-green,7
76,76,Ethiopia,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,7.75,0.0,84.33,11.0,0,5,yellow green,4
77,77,El Salvador,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.33,10.3,0,0,brownish,4
78,78,Colombia,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,0.0,84.33,11.6,0,0,green,1
79,79,Indonesia,"Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.5,0,1,blue-green,1
80,80,Guatemala,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.25,10.0,0,0,green,1
81,81,Madagascar,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.25,12.1,0,0,blue-green,0
82,82,Honduras,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.17,10.2,0,0,green,2
83,83,Guatemala,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,7.75,0.0,84.08,11.0,0,3,green,2
84,84,Taiwan,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,84.08,10.8,0,0,greenish,2
85,85,Taiwan,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,7.92,0.0,84.08,10.6,0,0,yello-green,0
86,86,Guatemala,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.08,11.0,0,1,green,2
